Año|Mes|CCAA|Producto|Volumen (miles de kg)|Valor (miles de €)|Precio medio kg|Penetración (%)|Consumo per capita|Gasto per capita||
2014 | Enero|Total nacional|GUISANTES|2.414,31|3.793,70|1,57|13,21|0,05|0,08||
2014 | Enero|Total nacional|JUDIA VERDE|3.509,64|4.688,77|1,34|13,54|0,08|0,1||
2014 | Enero|Total nacional|COLIFLOR|349,39|625,19|1,79|1,91|0,01|0,01||
2014 | Enero|Total nacional|PIMIENTOS|147,06|310,41|2,11|1,36|0|0,01||
2014 | Enero|Total nacional|BROCOLI|549,69|957,62|1,74|2,66|0,01|0,02||
2014 | Enero|Total nacional|MENESTRA|1.579,96|2.840,14|1,8|8,02|0,04|0,06||
2014 | Enero|Total nacional|OTR.VERD/HOR.CONG.|3.692,56|9.962,22|2,7|18,68|0,08|0,22||
2014 | Enero|Total nacional|FRUTAS CONGELADAS|25,75|151,49|5,88|0,3|0|0||
2014 | Febrero|Total nacional|GUISANTES|780,44|1.883,74|2,41|6,29|0,02|0,04||
2014 | Febrero|Total nacional|JUDIAS VERDES|1.071,42|1.672,67|1,56|5,52|0,02|0,04||
2014 | Febrero|Total nacional|PIMIENTOS|1.040,85|4.337,31|4,17|12,36|0,02|0,1||
2014 | Febrero|Total nacional|ESPARRAGOS|1.364,83|7.787,86|5,71|12,53|0,03|0,17||
2014 | Febrero|Total nacional|ALCACHOFAS|641,36|2.800,22|4,37|5,41|0,01|0,06||
2014 | Febrero|Total nacional|CHAMPIÑOSNES+SETAS|1.537,08|4.342,56|2,83|11,32|0,03|0,1||
2014 | Febrero|Total nacional|MAIZ DULCE|1.265,50|3.770,82|2,98|11,3|0,03|0,08||
2014 | Febrero|Total nacional|MENESTRA|231,57|441,51|1,91|1,45|0,01|0,01||
2014 | Febrero|Total nacional|TOMATES|18.620,89|24.909,16|1,34|55,49|0,42|0,56||
2014 | Febrero|Total nacional|TOMATE FRITO|13.281,58|18.662,42|1,41|45,76|0,3|0,42||
2014 | Febrero|Total nacional|TOMATE NATURAL|5.339,31|6.246,74|1,17|21,2|0,12|0,14||
2014 | Febrero|Total nacional|TOMATE N.ENTERO|510,94|589,95|1,15|2,52|0,01|0,01||
2014 | Febrero|Total nacional|TOMATE N.TRITUR.|4.828,37|5.656,79|1,17|19,54|0,11|0,13||
2014 | Febrero|Total nacional|OTRA VERD/HORT.CON|1.629,78|3.950,82|2,42|11,64|0,04|0,09||
2014 | Febrero|Total nacional|FRUTA EN CONSERVA|6.325,34|18.368,46|2,9|34,64|0,14|0,41||
2014 | Febrero|Total nacional|MERMELADAS,CONFIT.|2.557,57|8.956,25|3,5|22,11|0,06|0,2||
2014 | Febrero|Total nacional|FRUTA CONS/ALMIBAR|3.174,68|6.894,86|2,17|13,34|0,07|0,15||
2014 | Febrero|Total nacional|FRUTA ESCARCHADA|95,29|737,19|7,74|1,06|0|0,02||
2014 | Febrero|Total nacional|RESTO FRUTA CONSER|497,79|1.780,16|3,58|5,24|0,01|0,04||
2014 | Febrero|Total nacional|VERD./HORT.CONGELAD|10.912,18|20.047,33|1,84|35,16|0,24|0,45||
2014 | Febrero|Total nacional|ESPINACAS|1.125,51|1.783,12|1,58|7,48|0,03|0,04||
