Año|Mes|CCAA|Producto|Volumen (miles de kg)|Valor (miles de €)|Precio medio kg|Penetración (%)|Consumo per capita|Gasto per capita||
2013 | Diciembre|Total nacional|T.HORTALIZAS FRESCAS|191.687,18|341.404,36|1,78|94,38|4,23|7,53||
2013 | Diciembre|Total nacional|TOMATES|36.710,40|59.193,78|1,61|74,07|0,81|1,31||
2013 | Diciembre|Total nacional|CEBOLLAS|25.543,72|25.445,75|1|66,71|0,56|0,56||
2013 | Diciembre|Total nacional|AJOS|3.170,25|12.464,87|3,93|39,84|0,07|0,27||
2013 | Diciembre|Total nacional|COLES|9.240,45|9.812,03|1,06|25,11|0,2|0,22||
2013 | Diciembre|Total nacional|PEPINOS|3.652,30|5.444,52|1,49|19,44|0,08|0,12||
2013 | Diciembre|Total nacional|JUDIAS VERDES|7.040,65|19.899,34|2,83|33,09|0,16|0,44||
2013 | Diciembre|Total nacional|PIMIENTOS|14.453,15|24.061,35|1,66|59,91|0,32|0,53||
2013 | Diciembre|Total nacional|CHAMPIÑONES+O.SETAS|6.280,09|21.374,90|3,4|39,32|0,14|0,47||
2013 | Diciembre|Total nacional|LECHUGA/ESC./ENDIVIA|14.952,25|31.911,32|2,13|55,93|0,33|0,7||
2013 | Diciembre|Total nacional|ESPARRAGOS|2.432,75|4.450,81|1,83|7,37|0,05|0,1||
2013 | Diciembre|Total nacional|VERDURAS DE HOJA|4.858,41|10.079,95|2,07|23,57|0,11|0,22||
2013 | Diciembre|Total nacional|BERENJENAS|3.410,98|7.095,27|2,08|21,65|0,08|0,16||
2013 | Diciembre|Total nacional|ZANAHORIAS|12.969,03|11.604,89|0,89|56,95|0,29|0,26||
2013 | Diciembre|Total nacional|CALABACINES|9.288,67|19.991,88|2,15|40|0,2|0,44||
2013 | Diciembre|Total nacional|OTR.HORTALIZAS/VERD.|37.684,10|78.573,69|2,09|74,71|0,83|1,73||
2013 | Diciembre|Total nacional|VERD./HORT. IV GAMA|9.669,68|29.540,48|3,05|44,35|0,21|0,65||
2013 | Diciembre|Total nacional|VERD./HORT. ECOLOGIC|15.174,92|28.111,12|1,85|18,34|0,33|0,62||
2014 | Enero|Total nacional|TOTAL PATATAS|119.699,41|94.491,93|0,79|79,87|2,67|2,11||
2014 | Enero|Total nacional|PATATAS FRESCAS|90.430,54|64.331,08|0,71|69,29|2,02|1,44||
2014 | Enero|Total nacional|PATATAS CONGELADAS|4.383,15|5.487,24|1,25|13,34|0,1|0,12||
2014 | Enero|Total nacional|PATATAS PROCESADAS|4.977,14|24.673,61|4,96|44,64|0,11|0,55||
2014 | Enero|Total nacional|T.HORTALIZAS FRESCAS|233.671,92|392.599,06|1,68|97,15|5,21|8,76||
2014 | Enero|Total nacional|TOMATES|44.389,55|66.016,00|1,49|80,93|0,99|1,47||
2014 | Enero|Total nacional|CEBOLLAS|27.619,10|26.646,98|0,96|70,39|0,62|0,59||
2014 | Enero|Total nacional|AJOS|3.222,22|12.340,22|3,83|42,36|0,07|0,28||
2014 | Enero|Total nacional|COLES|10.104,56|10.430,92|1,03|28,93|0,23|0,23||
2014 | Enero|Total nacional|PEPINOS|4.514,66|6.959,40|1,54|24,4|0,1|0,16||
2014 | Enero|Total nacional|JUDIAS VERDES|8.438,91|22.150,00|2,62|38,12|0,19|0,49||
2014 | Enero|Total nacional|PIMIENTOS|16.029,28|28.496,98|1,78|64,51|0,36|0,64||
2014 | Enero|Total nacional|CHAMPIÑONES+O.SETAS|6.352,92|21.755,55|3,42|43,97|0,14|0,49||
2014 | Enero|Total nacional|LECHUGA/ESC./ENDIVIA|16.271,52|33.901,13|2,08|60,48|0,36|0,76||
2014 | Enero|Total nacional|ESPARRAGOS|1.965,94|3.457,39|1,76|6,58|0,04|0,08||
2014 | Enero|Total nacional|VERDURAS DE HOJA|5.960,68|12.597,20|2,11|27,75|0,13|0,28||
2014 | Enero|Total nacional|BERENJENAS|4.897,80|8.626,21|1,76|28,98|0,11|0,19||
2014 | Enero|Total nacional|ZANAHORIAS|15.301,18|13.666,33|0,89|62,63|0,34|0,3||
2014 | Enero|Total nacional|CALABACINES|14.292,43|24.593,66|1,72|50,91|0,32|0,55||
2014 | Enero|Total nacional|OTR.HORTALIZAS/VERD.|54.311,18|100.961,10|1,86|83,28|1,21|2,25||
2014 | Enero|Total nacional|VERD./HORT. IV GAMA|11.330,04|33.542,56|2,96|48,36|0,25|0,75||
2014 | Enero|Total nacional|VERD./HORT. ECOLOGIC|18.161,85|32.596,18|1,79|20,32|0,41|0,73||
2014 | Febrero|Total nacional|TOTAL PATATAS|103.499,20|80.518,24|0,78|77,76|2,31|1,8||
2014 | Febrero|Total nacional|PATATAS FRESCAS|77.006,50|52.971,09|0,69|64,91|1,72|1,18||
2014 | Febrero|Total nacional|PATATAS CONGELADAS|3.409,39|4.239,06|1,24|11,12|0,08|0,09||
2014 | Febrero|Total nacional|PATATAS PROCESADAS|4.616,66|23.308,09|5,05|43,84|0,1|0,52||
2014 | Febrero|Total nacional|T.HORTALIZAS FRESCAS|223.936,47|356.402,50|1,59|96,64|5|7,95||
2014 | Febrero|Total nacional|TOMATES|40.802,45|58.556,28|1,44|78,56|0,91|1,31||
2014 | Febrero|Total nacional|CEBOLLAS|25.590,32|25.852,96|1,01|67,48|0,57|0,58||
2014 | Febrero|Total nacional|AJOS|3.068,40|11.226,56|3,66|38,98|0,07|0,25||
2014 | Febrero|Total nacional|COLES|9.258,18|9.708,87|1,05|24,88|0,21|0,22||
2014 | Febrero|Total nacional|PEPINOS|4.423,60|6.544,33|1,48|23,05|0,1|0,15||
2014 | Febrero|Total nacional|JUDIAS VERDES|7.568,54|19.969,44|2,64|36,07|0,17|0,45||
2014 | Febrero|Total nacional|PIMIENTOS|15.698,45|27.241,70|1,74|64,48|0,35|0,61||
2014 | Febrero|Total nacional|CHAMPIÑONES+O.SETAS|5.612,53|17.346,77|3,09|39|0,13|0,39||
2014 | Febrero|Total nacional|LECHUGA/ESC./ENDIVIA|14.513,80|29.817,67|2,05|55,8|0,32|0,67||
2014 | Febrero|Total nacional|ESPARRAGOS|2.274,02|4.607,67|2,03|7,34|0,05|0,1||
2014 | Febrero|Total nacional|VERDURAS DE HOJA|5.813,21|11.951,95|2,06|27,51|0,13|0,27||
2014 | Febrero|Total nacional|BERENJENAS|4.388,33|6.940,93|1,58|25,78|0,1|0,15||
2014 | Febrero|Total nacional|ZANAHORIAS|13.583,64|12.079,64|0,89|57,48|0,3|0,27||
2014 | Febrero|Total nacional|CALABACINES|14.828,27|19.991,01|1,35|51,09|0,33|0,45||
2014 | Febrero|Total nacional|OTR.HORTALIZAS/VERD.|56.512,73|94.566,72|1,67|81,95|1,26|2,11||
2014 | Febrero|Total nacional|VERD./HORT. IV GAMA|10.880,88|30.643,58|2,82|45,75|0,24|0,68||
2014 | Febrero|Total nacional|VERD./HORT. ECOLOGIC|18.235,25|30.920,46|1,7|19,16|0,41|0,69||
2014 | Marzo|Total nacional|TOTAL PATATAS|119.160,93|92.276,24|0,77|80,54|2,66|2,06||
2014 | Marzo|Total nacional|PATATAS FRESCAS|88.772,74|59.494,42|0,67|69,11|1,98|1,33||
2014 | Marzo|Total nacional|PATATAS CONGELADAS|4.025,28|5.003,23|1,24|12,2|0,09|0,11||
2014 | Marzo|Total nacional|PATATAS PROCESADAS|5.272,58|27.778,59|5,27|47,7|0,12|0,62||
2014 | Marzo|Total nacional|T.HORTALIZAS FRESCAS|249.035,14|392.582,89|1,58|97,2|5,56|8,76||
2014 | Marzo|Total nacional|TOMATES|45.638,69|69.944,36|1,53|81,87|1,02|1,56||
2014 | Marzo|Total nacional|CEBOLLAS|28.562,79|28.905,28|1,01|71,52|0,64|0,64||
2014 | Marzo|Total nacional|AJOS|3.192,54|11.995,98|3,76|41,62|0,07|0,27||
2014 | Marzo|Total nacional|COLES|7.956,22|7.825,76|0,98|23,59|0,18|0,17||
2014 | Marzo|Total nacional|PEPINOS|5.883,30|7.943,92|1,35|28,69|0,13|0,18||
2014 | Marzo|Total nacional|JUDIAS VERDES|9.099,97|21.194,60|2,33|40,47|0,2|0,47||
2014 | Marzo|Total nacional|PIMIENTOS|18.440,77|31.666,72|1,72|66,48|0,41|0,71||
2014 | Marzo|Total nacional|CHAMPIÑONES+O.SETAS|5.701,25|19.073,92|3,35|39,14|0,13|0,43||
2014 | Marzo|Total nacional|LECHUGA/ESC./ENDIVIA|17.658,00|34.559,47|1,96|63,24|0,39|0,77||
2014 | Marzo|Total nacional|ESPARRAGOS|4.318,08|8.336,43|1,93|13,16|0,1|0,19||
2014 | Marzo|Total nacional|VERDURAS DE HOJA|7.081,76|13.824,21|1,95|28,73|0,16|0,31||
2014 | Marzo|Total nacional|BERENJENAS|5.763,13|7.793,57|1,35|32,82|0,13|0,17||
2014 | Marzo|Total nacional|ZANAHORIAS|14.854,42|13.025,31|0,88|59,26|0,33|0,29||
2014 | Marzo|Total nacional|CALABACINES|17.194,09|18.175,59|1,06|55,03|0,38|0,41||
2014 | Marzo|Total nacional|OTR.HORTALIZAS/VERD.|57.690,14|98.317,76|1,7|82,08|1,29|2,19||
2014 | Marzo|Total nacional|VERD./HORT. IV GAMA|12.629,11|36.648,12|2,9|47,74|0,28|0,82||
2014 | Marzo|Total nacional|VERD./HORT. ECOLOGIC|20.344,08|35.401,75|1,74|22,05|0,45|0,79||
2014 | Abril|Total nacional|TOTAL PATATAS|113.174,17|88.145,66|0,78|79,27|2,52|1,97||
2014 | Abril|Total nacional|PATATAS FRESCAS|84.531,60|58.150,58|0,69|67,3|1,89|1,3||
2014 | Abril|Total nacional|PATATAS CONGELADAS|3.822,76|4.645,79|1,22|12,23|0,09|0,1||
2014 | Abril|Total nacional|PATATAS PROCESADAS|4.963,96|25.349,29|5,11|45,69|0,11|0,57||
2014 | Abril|Total nacional|T.HORTALIZAS FRESCAS|230.336,21|354.335,04|1,54|96,55|5,14|7,9||
2014 | Abril|Total nacional|TOMATES|46.965,70|69.699,85|1,48|82,71|1,05|1,55||
2014 | Abril|Total nacional|CEBOLLAS|26.813,53|27.532,94|1,03|68,89|0,6|0,61||
2014 | Abril|Total nacional|AJOS|2.989,35|11.156,21|3,73|43,3|0,07|0,25||
2014 | Abril|Total nacional|COLES|5.430,13|5.272,31|0,97|18,59|0,12|0,12||
2014 | Abril|Total nacional|PEPINOS|7.753,22|8.717,86|1,12|33,55|0,17|0,19||
2014 | Abril|Total nacional|JUDIAS VERDES|7.805,39|18.368,82|2,35|37,01|0,17|0,41||
2014 | Abril|Total nacional|PIMIENTOS|17.102,85|28.240,21|1,65|66,8|0,38|0,63||
2014 | Abril|Total nacional|CHAMPIÑONES+O.SETAS|4.975,92|16.950,17|3,41|37,98|0,11|0,38||
2014 | Abril|Total nacional|LECHUGA/ESC./ENDIVIA|16.447,21|31.302,55|1,9|61,53|0,37|0,7||
2014 | Abril|Total nacional|ESPARRAGOS|6.445,45|12.950,74|2,01|19,2|0,14|0,29||
2014 | Abril|Total nacional|VERDURAS DE HOJA|6.142,27|12.032,99|1,96|27,11|0,14|0,27||
2014 | Abril|Total nacional|BERENJENAS|6.033,83|6.650,81|1,1|33,37|0,13|0,15||
2014 | Abril|Total nacional|ZANAHORIAS|12.970,50|11.357,11|0,88|57,44|0,29|0,25||
2014 | Abril|Total nacional|CALABACINES|15.459,20|14.743,40|0,95|54,58|0,34|0,33||
2014 | Abril|Total nacional|OTR.HORTALIZAS/VERD.|47.001,65|79.359,08|1,69|80,01|1,05|1,77||
2014 | Abril|Total nacional|VERD./HORT. IV GAMA|11.747,97|32.874,52|2,8|45,74|0,26|0,73||
2014 | Abril|Total nacional|VERD./HORT. ECOLOGIC|19.317,64|31.872,54|1,65|21,61|0,43|0,71||
2014 | Mayo|Total nacional|TOTAL PATATAS|116.793,41|87.684,23|0,75|81,11|2,61|1,96||
2014 | Mayo|Total nacional|PATATAS FRESCAS|88.804,10|58.277,28|0,66|70,1|1,98|1,3||
2014 | Mayo|Total nacional|PATATAS CONGELADAS|3.646,39|4.452,90|1,22|11,49|0,08|0,1||
2014 | Mayo|Total nacional|PATATAS PROCESADAS|4.868,58|24.954,05|5,13|46,18|0,11|0,56||
2014 | Mayo|Total nacional|T.HORTALIZAS FRESCAS|251.566,86|369.816,63|1,47|96,83|5,61|8,25||
2014 | Mayo|Total nacional|TOMATES|60.385,13|74.698,91|1,24|84,64|1,35|1,67||
